NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,221.55,163.18,218.74,185.02,215.05,307.08,560.45,512.53,637.73,654.64,388.51,610.32,761.85,889.79,998.17,1011.46,1284.64,1424.64,1628.92,1847.19,1902.74,2427.4,2457.32,2217.1,2412.34,2268.31
TELSTRA GROUP,AU000000TLS2,218.05,178.12,148.82,112.1,110.38,169.52,189.02,149.96,184.22,233.24,152.79,196.25,215.49,299.77,416.72,413.72,500.94,410.36,419.61,323.16,284.32,328.14,322.46,393.96,404.18,384.85
WESTPAC BANKING,AU000000WBC1,1411.36,1416.43,1593.41,1829.02,1881.81,3071.11,3822.61,4670.42,5581.76,6469.37,3470.93,6525.42,8361.93,8543.74,11690.23,11969.88,13014.51,10324.18,12470.34,12880.49,11072.2,10381.06,11068.26,10333.78,11620.78,11894.37
WESFARMERS,AU000000WES1,818.32,754.93,1039.82,1567.02,1765.7,2626.37,4067.56,3769.37,4313.92,5187.24,1899.35,4596.19,7021.12,6788.1,8872.46,8853.94,8536.0,7806.45,8333.13,9109.21,9914.99,13403.99,19408.6,17710.27,16812.07,18996.48
WORLEY,AU000000WOR2,,,,,64.0,142.93,266.17,631.57,1104.55,2213.92,529.54,1368.86,2140.48,2282.66,1996.65,1118.52,673.13,220.48,710.51,1120.58,1080.5,1038.49,889.14,982.96,1255.67,1201.63
WOOLWORTHS GROUP,AU000000WOW2,162.82,143.92,212.33,301.37,358.09,474.53,645.3,729.41,1151.11,1531.89,1170.51,1443.62,1831.82,1863.81,2511.65,2418.38,2038.83,1422.03,1691.63,1896.53,2004.85,2761.61,3126.18,2819.08,2953.46,2836.69
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,,53.85,66.46,64.2,67.44,107.62,145.77,215.38,363.86,427.1,186.62,260.89,325.35,312.91,316.22,240.82,261.05,168.97,220.44,165.47,167.64,115.02,115.31,105.8,100.58,171.41
HEALIUS,AU0000033359,86.2,232.89,206.18,178.31,153.38,319.78,542.19,701.73,876.83,814.68,335.39,519.08,430.47,391.48,589.27,553.83,510.75,234.9,438.06,440.64,343.06,329.7,539.86,553.99,373.11,184.82
OVATO DEAD - DELIST.29/08/22,AU0000038911,89.51,68.42,30.96,16.02,12.77,55.47,88.38,61.29,85.25,81.56,14.19,35.24,50.48,28.09,10.42,21.6,20.23,19.93,32.45,22.65,8.11,2.12,0.34,0.08,,
AMPOL,AU0000088338,374.84,237.09,219.62,160.16,238.23,870.83,1807.46,2620.13,3479.92,3020.85,1364.25,1784.04,3436.63,3274.38,5120.66,4403.59,6991.84,7022.68,6031.7,7724.35,5804.94,6924.18,6550.25,7216.68,7283.06,8656.52
WOODSIDE ENERGY GROUP,AU0000224040,217.31,339.3,382.59,330.21,325.48,579.46,855.5,1745.7,1620.49,2370.05,1273.89,2215.99,2735.56,2423.49,2441.3,2350.61,2046.17,1559.97,2046.44,2254.01,2290.21,2220.51,2026.75,2029.55,2860.12,2690.28
SOLVAY,BE0003470755,3755.0,3899.72,3307.51,3807.14,3830.88,5167.02,7071.08,7279.27,10650.96,8069.95,5146.3,6933.47,7885.63,8043.77,12054.11,11614.04,11203.91,7535.11,10615.55,12931.28,10224.3,10561.2,11602.33,12890.96,12520.57,10746.12
KBC GROUP,BE0003565737,6141.37,3245.76,3455.72,2352.6,2442.34,4577.02,6921.68,9042.07,11591.46,11246.55,1687.77,3853.84,3945.67,2208.87,3587.0,6106.46,5527.0,5559.26,6593.05,10011.46,7316.14,8866.41,8354.37,10547.04,9514.71,8351.39
